step,column,values_set_missing,rows_before,rows_after,rows_removed,required_fields,subset,lower_bound,upper_bound,missing_rate,indicator_added
coerce_date,vstdate,0.0,,,,,,,,,
coerce_numeric,hn,0.0,,,,,,,,,
coerce_numeric,sex,0.0,,,,,,,,,
coerce_numeric,age,0.0,,,,,,,,,
coerce_numeric,height,0.0,,,,,,,,,
coerce_numeric,bw,0.0,,,,,,,,,
coerce_numeric,bmi,0.0,,,,,,,,,
coerce_numeric,smoke,0.0,,,,,,,,,
coerce_numeric,drinking,0.0,,,,,,,,,
coerce_numeric,bps,0.0,,,,,,,,,
coerce_numeric,bpd,0.0,,,,,,,,,
coerce_numeric,HDL,0.0,,,,,,,,,
coerce_numeric,LDL,0.0,,,,,,,,,
coerce_numeric,Triglyceride,0.0,,,,,,,,,
coerce_numeric,Cholesterol,0.0,,,,,,,,,
coerce_numeric,AF,0.0,,,,,,,,,
coerce_numeric,FBS,0.0,,,,,,,,,
coerce_numeric,eGFR,0.0,,,,,,,,,
coerce_numeric,Creatinine,0.0,,,,,,,,,
coerce_numeric,heart_disease,0.0,,,,,,,,,
coerce_numeric,hypertension,0.0,,,,,,,,,
coerce_numeric,diabetes,0.0,,,,,,,,,
coerce_numeric,Statin,0.0,,,,,,,,,
coerce_numeric,Gemfibrozil,0.0,,,,,,,,,
coerce_numeric,TC:HDL_ratio,0.0,,,,,,,,,
coerce_numeric,Antihypertensive_flag,0.0,,,,,,,,,
strip_text,PrincipleDiagnosis,,,,,,,,,,
strip_text,ComorbidityDiagnosis,,,,,,,,,,
strip_text,ตำบล,,,,,,,,,,
strip_text,ยาที่ได้รับ,,,,,,,,,,
drop_missing_required_fields,,,218772.0,218772.0,0.0,"['hn', 'vstdate']",,,,,
drop_exact_duplicate_rows,,,218772.0,202939.0,15833.0,,,,,,
drop_duplicate_patient_visit_diagnosis,,,202939.0,202331.0,608.0,,"['hn', 'vstdate', 'PrincipleDiagnosis']",,,,
validate_binary_flag,heart_disease,0.0,,,,,,,,,
validate_binary_flag,hypertension,0.0,,,,,,,,,
validate_binary_flag,diabetes,0.0,,,,,,,,,
validate_binary_flag,Statin,0.0,,,,,,,,,
validate_binary_flag,Gemfibrozil,0.0,,,,,,,,,
validate_binary_flag,Antihypertensive_flag,0.0,,,,,,,,,
apply_fixed_clinical_range,age,0.0,,,,,,0.0,120.0,,
apply_fixed_clinical_range,height,0.0,,,,,,80.0,230.0,,
apply_fixed_clinical_range,bw,0.0,,,,,,20.0,300.0,,
apply_fixed_clinical_range,bmi,0.0,,,,,,10.0,80.0,,
apply_fixed_clinical_range,bps,0.0,,,,,,60.0,260.0,,
apply_fixed_clinical_range,bpd,8.0,,,,,,30.0,160.0,,
apply_fixed_clinical_range,HDL,0.0,,,,,,1.0,200.0,,
apply_fixed_clinical_range,LDL,1.0,,,,,,1.0,400.0,,
apply_fixed_clinical_range,Triglyceride,0.0,,,,,,1.0,2000.0,,
apply_fixed_clinical_range,Cholesterol,0.0,,,,,,1.0,500.0,,
apply_fixed_clinical_range,FBS,0.0,,,,,,30.0,600.0,,
apply_fixed_clinical_range,eGFR,0.0,,,,,,0.0,200.0,,
apply_fixed_clinical_range,Creatinine,1.0,,,,,,0.1,20.0,,
apply_fixed_clinical_range,TC:HDL_ratio,3.0,,,,,,0.1,20.0,,
add_missing_indicator,height,,,,,,,,,0.001137,False
add_missing_indicator,bw,,,,,,,,,0.001097,False
add_missing_indicator,bmi,,,,,,,,,0.001952,False
add_missing_indicator,bps,,,,,,,,,0.133336,True
add_missing_indicator,bpd,,,,,,,,,0.132763,True
add_missing_indicator,HDL,,,,,,,,,0.698741,True
add_missing_indicator,LDL,,,,,,,,,0.704193,True
add_missing_indicator,Triglyceride,,,,,,,,,0.715041,True
add_missing_indicator,Cholesterol,,,,,,,,,0.695351,True
add_missing_indicator,FBS,,,,,,,,,0.734905,True
add_missing_indicator,eGFR,,,,,,,,,0.665701,True
add_missing_indicator,Creatinine,,,,,,,,,0.641182,True
add_missing_indicator,TC:HDL_ratio,,,,,,,,,0.703491,True
