column,non_null_count,missing_count,missing_percent,row_count
FBS,53637,148694,73.49,202331
Triglyceride,57656,144675,71.5,202331
LDL,59851,142480,70.42,202331
TC:HDL_ratio,59993,142338,70.35,202331
HDL,60954,141377,69.87,202331
Cholesterol,61640,140691,69.54,202331
eGFR,67639,134692,66.57,202331
Creatinine,72600,129731,64.12,202331
ComorbidityDiagnosis,144015,58316,28.82,202331
ยาที่ได้รับ,162784,39547,19.55,202331
bps,175353,26978,13.33,202331
bpd,175469,26862,13.28,202331
ตำบล,188188,14143,6.99,202331
bmi,201936,395,0.2,202331
height,202101,230,0.11,202331
bw,202109,222,0.11,202331
PrincipleDiagnosis,202329,2,0.0,202331
AF,202331,0,0.0,202331
Antihypertensive_flag,202331,0,0.0,202331
Cholesterol_missing_indicator,202331,0,0.0,202331
Creatinine_missing_indicator,202331,0,0.0,202331
FBS_missing_indicator,202331,0,0.0,202331
Gemfibrozil,202331,0,0.0,202331
HDL_missing_indicator,202331,0,0.0,202331
LDL_missing_indicator,202331,0,0.0,202331
Statin,202331,0,0.0,202331
TC:HDL_ratio_missing_indicator,202331,0,0.0,202331
Triglyceride_missing_indicator,202331,0,0.0,202331
age,202331,0,0.0,202331
bpd_missing_indicator,202331,0,0.0,202331
bps_missing_indicator,202331,0,0.0,202331
diabetes,202331,0,0.0,202331
drinking,202331,0,0.0,202331
eGFR_missing_indicator,202331,0,0.0,202331
heart_disease,202331,0,0.0,202331
hn,202331,0,0.0,202331
hypertension,202331,0,0.0,202331
sex,202331,0,0.0,202331
smoke,202331,0,0.0,202331
vstdate,202331,0,0.0,202331
