column,lower_bound,upper_bound,non_null_count,min,max,missing_count,missing_percent
age,0.0,120,202331,18.0,103.0,0,0.0
height,80.0,230,202101,140.0,194.0,230,0.11
bw,20.0,300,202109,30.0,132.0,222,0.11
bmi,10.0,80,201936,11.3865928649902,49.21875,395,0.2
bps,60.0,260,175353,60.0,218.0,26978,13.33
bpd,30.0,160,175469,30.0,134.0,26862,13.28
HDL,1.0,200,60954,8.0,125.0,141377,69.87
LDL,1.0,400,59851,1.0,369.0,142480,70.42
Triglyceride,1.0,2000,57656,1.0,427.0,144675,71.5
Cholesterol,1.0,500,61640,26.0,391.0,140691,69.54
FBS,30.0,600,53637,50.0,296.0,148694,73.49
eGFR,0.0,200,67639,1.0,188.740005493164,134692,66.57
Creatinine,0.1,20,72600,0.170000001788139,6.59000015258789,129731,64.12
TC:HDL_ratio,0.1,20,59993,0.604651162790698,18.5384615384615,142338,70.35
