feature_1,feature_2,correlation,abs_correlation
LDL,Cholesterol,0.9158700009075045,0.9158700009075045
bw,bmi,0.8831496707746831,0.8831496707746831
smoke,drinking,0.7847119433105888,0.7847119433105888
eGFR,Creatinine,-0.7684567239753402,0.7684567239753402
HDL,TC:HDL_ratio,-0.6873073470278438,0.6873073470278438
sex,height,-0.6288091339122313,0.6288091339122313
LDL,TC:HDL_ratio,0.6102710148133065,0.6102710148133065
age,eGFR,-0.6001292272118127,0.6001292272118127
FBS,diabetes,0.5353786327486534,0.5353786327486534
bps,bpd,0.5272890872500482,0.5272890872500482
Triglyceride,TC:HDL_ratio,0.5063814776331718,0.5063814776331718
Cholesterol,TC:HDL_ratio,0.5028715771775466,0.5028715771775466
height,bw,0.4813366086239311,0.4813366086239311
age,bw,-0.47013466598972864,0.47013466598972864
sex,drinking,-0.45644518974863724,0.45644518974863724
age,bmi,-0.41768038842505784,0.41768038842505784
sex,smoke,-0.4168218131522902,0.4168218131522902
HDL,Triglyceride,-0.37906628617976246,0.37906628617976246
hypertension,diabetes,-0.3784926878586662,0.3784926878586662
age,bpd,-0.3755709702903955,0.3755709702903955
FBS,hypertension,-0.3494813418218892,0.3494813418218892
height,drinking,0.2920859047341437,0.2920859047341437
smoke,Antihypertensive_flag,0.2885109975535842,0.2885109975535842
bpd,eGFR,0.2859001178816719,0.2859001178816719
height,smoke,0.26781882764386505,0.26781882764386505
drinking,Antihypertensive_flag,0.2571334893712618,0.2571334893712618
bmi,eGFR,0.2539331567681301,0.2539331567681301
age,Creatinine,0.25318514302467876,0.25318514302467876
bw,eGFR,0.25217268671200066,0.25217268671200066
Statin,Antihypertensive_flag,0.23583548855725334,0.23583548855725334
sex,Creatinine,-0.23547990792289242,0.23547990792289242
Triglyceride,Cholesterol,0.23001538424584703,0.23001538424584703
age,height,-0.22931684694205182,0.22931684694205182
bw,bpd,0.2281353580628848,0.2281353580628848
sex,bw,-0.21430552198720182,0.21430552198720182
hypertension,stroke_flag,-0.18954975852932365,0.18954975852932365
HDL,Cholesterol,0.18648739353365573,0.18648739353365573
bmi,bpd,0.18434489183711478,0.18434489183711478
Gemfibrozil,TC:HDL_ratio,0.17673853647989277,0.17673853647989277
Creatinine,hypertension,-0.174445272450515,0.174445272450515
eGFR,hypertension,0.17291603520699045,0.17291603520699045
eGFR,Antihypertensive_flag,0.1693687399484812,0.1693687399484812
bw,HDL,-0.16540646942252699,0.16540646942252699
sex,HDL,0.1641016364742607,0.1641016364742607
bpd,Creatinine,-0.1566668511899551,0.1566668511899551
drinking,Creatinine,0.15546894907763903,0.15546894907763903
Statin,Gemfibrozil,-0.15406881781024184,0.15406881781024184
hypertension,Antihypertensive_flag,0.15253298289360728,0.15253298289360728
Triglyceride,Gemfibrozil,0.14973003617306005,0.14973003617306005
height,bpd,0.14806447042669282,0.14806447042669282
bw,TC:HDL_ratio,0.14739159490794826,0.14739159490794826
smoke,Statin,0.1446054657804489,0.1446054657804489
bw,Triglyceride,0.14259048900403734,0.14259048900403734
Triglyceride,FBS,0.1402009296231,0.1402009296231
smoke,Creatinine,0.1400444123056156,0.1400444123056156
bmi,Triglyceride,0.1400303244170171,0.1400303244170171
drinking,Statin,0.13877977472358413,0.13877977472358413
age,Antihypertensive_flag,-0.1384499687214055,0.1384499687214055
bpd,Cholesterol,0.1363267601791925,0.1363267601791925
FBS,Statin,0.13447955827691804,0.13447955827691804
bw,FBS,0.13330645111717432,0.13330645111717432
bmi,Creatinine,-0.1331334310301479,0.1331334310301479
smoke,FBS,0.1311243345552018,0.1311243345552018
