column,missing_count,missing_percent,non_null_count,row_count
FBS,162187,74.14,56585,218772
Triglyceride,157488,71.99,61284,218772
LDL,155180,70.93,63592,218772
TC:HDL_ratio,155033,70.87,63739,218772
HDL,154022,70.4,64750,218772
Cholesterol,153319,70.08,65453,218772
eGFR,146847,67.12,71925,218772
Creatinine,141851,64.84,76921,218772
ComorbidityDiagnosis,58758,26.86,160014,218772
ยาที่ได้รับ,40047,18.31,178725,218772
bps,27608,12.62,191164,218772
bpd,27483,12.56,191289,218772
ตำบล,15227,6.96,203545,218772
bmi,413,0.19,218359,218772
height,243,0.11,218529,218772
bw,226,0.1,218546,218772
PrincipleDiagnosis,2,0.0,218770,218772
AF,0,0.0,218772,218772
Antihypertensive_flag,0,0.0,218772,218772
Gemfibrozil,0,0.0,218772,218772
Statin,0,0.0,218772,218772
age,0,0.0,218772,218772
diabetes,0,0.0,218772,218772
drinking,0,0.0,218772,218772
heart_disease,0,0.0,218772,218772
hn,0,0.0,218772,218772
hypertension,0,0.0,218772,218772
sex,0,0.0,218772,218772
smoke,0,0.0,218772,218772
vstdate,0,0.0,218772,218772
