column,p01,p05,p25,p50,p75,p95,p99
sex,1.0,1.0,1.0,2.0,2.0,2.0,2.0
age,32.0,41.0,54.0,63.0,72.0,84.0,90.0
height,142.0,145.0,152.0,158.0,165.0,172.0,178.0
bw,35.5,42.0,53.0,61.0,70.0,87.0,103.5
bmi,15.4269971847534,17.75430126190183,21.6441211700439,24.4646015167236,27.6888885498047,33.4622230529785,38.9348030090332
smoke,0.0,0.0,1.0,1.0,1.0,2.0,3.0
drinking,0.0,0.0,1.0,1.0,1.0,3.0,3.0
bps,101.0,111.0,124.0,133.0,142.0,164.0,187.0
bpd,52.0,60.0,69.0,76.0,84.0,96.0,109.0
HDL,28.0,34.0,44.0,52.0,62.0,80.0,96.0
LDL,41.0,59.0,87.0,111.0,137.0,180.0,213.0
Triglyceride,47.0,61.0,92.0,125.0,170.0,251.0,292.0
Cholesterol,114.0,135.0,167.0,193.0,221.0,264.0,291.0
AF,0.0,0.0,1.0,1.0,1.0,1.0,1.0
FBS,74.0,81.0,91.0,100.0,116.0,175.0,247.0
eGFR,10.562400245666499,29.0,59.189998626709,79.7300033569336,94.8499984741211,109.720001220703,120.099998474121
Creatinine,0.490000009536743,0.569999992847443,0.720000028610229,0.879999995231628,1.10000002384186,1.8400000333786,3.57999992370605
heart_disease,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hypertension,0.0,0.0,0.0,1.0,1.0,1.0,1.0
diabetes,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Statin,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Gemfibrozil,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TC:HDL_ratio,1.91379310344828,2.28947368421053,3.0,3.65853658536585,4.515625,6.0,7.3448275862069
Antihypertensive_flag,0.0,0.0,0.0,1.0,1.0,1.0,1.0
stroke_flag,0.0,0.0,0.0,0.0,0.0,0.0,1.0
