model,feature,importance
random_forest,hypertension,0.2543016166219916
random_forest,age,0.0746830126525597
random_forest,bmi,0.061723994817679144
random_forest,visit_year,0.055476434516725126
random_forest,Antihypertensive_flag,0.05210987418184602
random_forest,bw,0.05135645631192154
random_forest,height,0.049507827428427055
random_forest,bps,0.04666278821408119
random_forest,diabetes,0.04301410133998621
random_forest,bpd,0.03862735537890827
random_forest,Statin,0.038280152126232495
random_forest,visit_month,0.02565761469015222
random_forest,drinking,0.017510585335709712
random_forest,eGFR,0.01696038582648913
random_forest,LDL,0.015997965852979162
random_forest,Creatinine,0.014781125826845282
random_forest,smoke,0.014719255703620747
random_forest,heart_disease,0.01213217098941103
random_forest,sex,0.0119983956437084
random_forest,Cholesterol,0.01181224392156769
random_forest,TC:HDL_ratio,0.010005241873278864
random_forest,missingindicator_HDL,0.009755276613133107
random_forest,missingindicator_LDL,0.008260158171175277
random_forest,FBS,0.007818020976233
random_forest,missingindicator_TC:HDL_ratio,0.0073580506839457036
random_forest,AF,0.006258149443240235
random_forest,HDL,0.006149420927710405
random_forest,Triglyceride,0.005750506863534262
random_forest,missingindicator_bpd,0.00570174310470027
random_forest,missingindicator_bps,0.004764130352041562
random_forest,missingindicator_FBS,0.00404672585661369
random_forest,missingindicator_Creatinine,0.003923843011488897
random_forest,missingindicator_Triglyceride,0.0038714892942339615
random_forest,Gemfibrozil,0.003096509930667918
random_forest,missingindicator_eGFR,0.002934764854438336
random_forest,missingindicator_Cholesterol,0.0028366781980690313
random_forest,missingindicator_bw,7.066852334881576e-05
random_forest,missingindicator_bmi,4.557101708588284e-05
random_forest,missingindicator_height,3.969292421912506e-05
xgboost,hypertension,0.26044583320617676
xgboost,missingindicator_HDL,0.09021639823913574
xgboost,diabetes,0.07558134198188782
xgboost,Statin,0.05085717514157295
xgboost,missingindicator_Creatinine,0.04280491918325424
xgboost,missingindicator_Triglyceride,0.040916841477155685
xgboost,heart_disease,0.030136825516819954
xgboost,Antihypertensive_flag,0.02779754437506199
xgboost,drinking,0.027247704565525055
xgboost,missingindicator_TC:HDL_ratio,0.02583584189414978
xgboost,sex,0.02320762351155281
xgboost,visit_year,0.021997155621647835
xgboost,smoke,0.021224327385425568
xgboost,missingindicator_bpd,0.0211272481828928
xgboost,missingindicator_FBS,0.020689629018306732
xgboost,age,0.018519895151257515
xgboost,LDL,0.017561739310622215
xgboost,Cholesterol,0.01500660553574562
xgboost,TC:HDL_ratio,0.013535863719880581
xgboost,eGFR,0.01323678158223629
xgboost,bps,0.01301130186766386
xgboost,bmi,0.012804384343326092
xgboost,Creatinine,0.012232853099703789
xgboost,height,0.011971471831202507
xgboost,HDL,0.011576037853956223
xgboost,missingindicator_eGFR,0.009034021757543087
xgboost,missingindicator_LDL,0.008362319320440292
xgboost,bw,0.008350635878741741
xgboost,bpd,0.00819925032556057
xgboost,missingindicator_bps,0.007805416826158762
xgboost,FBS,0.006474155001342297
xgboost,visit_month,0.006313045974820852
xgboost,Triglyceride,0.006251706276088953
xgboost,AF,0.005476158112287521
xgboost,Gemfibrozil,0.005446738097816706
xgboost,missingindicator_Cholesterol,0.005310581997036934
xgboost,missingindicator_bmi,0.003432635683566332
xgboost,missingindicator_height,0
xgboost,missingindicator_bw,0
