feature,importance
hypertension,0.2543016166219916
age,0.0746830126525597
bmi,0.061723994817679144
visit_year,0.055476434516725126
Antihypertensive_flag,0.05210987418184602
bw,0.05135645631192154
height,0.049507827428427055
bps,0.04666278821408119
diabetes,0.04301410133998621
bpd,0.03862735537890827
Statin,0.038280152126232495
visit_month,0.02565761469015222
drinking,0.017510585335709712
eGFR,0.01696038582648913
LDL,0.015997965852979162
Creatinine,0.014781125826845282
smoke,0.014719255703620747
heart_disease,0.01213217098941103
sex,0.0119983956437084
Cholesterol,0.01181224392156769
TC:HDL_ratio,0.010005241873278864
missingindicator_HDL,0.009755276613133107
missingindicator_LDL,0.008260158171175277
FBS,0.007818020976233
missingindicator_TC:HDL_ratio,0.0073580506839457036
AF,0.006258149443240235
HDL,0.006149420927710405
Triglyceride,0.005750506863534262
missingindicator_bpd,0.00570174310470027
missingindicator_bps,0.004764130352041562
missingindicator_FBS,0.00404672585661369
missingindicator_Creatinine,0.003923843011488897
missingindicator_Triglyceride,0.0038714892942339615
Gemfibrozil,0.003096509930667918
missingindicator_eGFR,0.002934764854438336
missingindicator_Cholesterol,0.0028366781980690313
missingindicator_bw,7.066852334881576e-05
missingindicator_bmi,4.557101708588284e-05
missingindicator_height,3.969292421912506e-05
