feature,mean_abs_shap
hypertension,0.16259841119887397
diabetes,0.0499778738946067
Antihypertensive_flag,0.04922251193322141
age,0.044337696673307544
Statin,0.032685280734000635
bmi,0.030874661359255075
visit_year,0.030371821402127384
bps,0.026886241932487016
bw,0.026007521694089944
height,0.023445788810032304
bpd,0.019081639711402226
sex,0.014157329128194208
visit_month,0.013137819465467193
missingindicator_HDL,0.011453206028020317
missingindicator_LDL,0.008223870938893447
heart_disease,0.00780404008437566
missingindicator_TC:HDL_ratio,0.007357694550322895
eGFR,0.007111712662667806
LDL,0.0068368758537675125
Cholesterol,0.006830217081168996
drinking,0.006655957938684353
Creatinine,0.006597354896254707
smoke,0.0054723511333965285
FBS,0.005112137847081919
TC:HDL_ratio,0.00484771252083235
missingindicator_Creatinine,0.0044329326577941695
missingindicator_Cholesterol,0.004362402595912279
missingindicator_bpd,0.004021768543299547
missingindicator_Triglyceride,0.0039108034895144455
missingindicator_FBS,0.0038180469435461517
HDL,0.0037124102478798405
missingindicator_bps,0.0032596311864150065
missingindicator_eGFR,0.003115021634445754
AF,0.0030714964073005635
Triglyceride,0.0030278602016765503
Gemfibrozil,0.0022928622768430876
missingindicator_bw,2.1489960573485137e-05
missingindicator_bmi,1.376707673479598e-05
missingindicator_height,1.2122112939985021e-05
