model,feature,mean_abs_shap,importance_type
xgboost,index_year,1.513679,mean_absolute_shap
xgboost,index_month,0.25264987,mean_absolute_shap
xgboost,bps_latest,0.17162126,mean_absolute_shap
xgboost,age_latest,0.13952151,mean_absolute_shap
xgboost,AF_latest,0.13536115,mean_absolute_shap
xgboost,FBS_std,0.12029304,mean_absolute_shap
xgboost,history_days_observed,0.11605943,mean_absolute_shap
xgboost,eGFR_max,0.114427105,mean_absolute_shap
xgboost,Cholesterol_min,0.09810424,mean_absolute_shap
xgboost,bmi_latest,0.087950684,mean_absolute_shap
xgboost,Triglyceride_max,0.07731217,mean_absolute_shap
xgboost,eGFR_latest,0.07189631,mean_absolute_shap
xgboost,bpd_std,0.06750185,mean_absolute_shap
xgboost,Creatinine_max,0.06689307,mean_absolute_shap
xgboost,bw_latest,0.060718384,mean_absolute_shap
xgboost,history_visit_count,0.056500856,mean_absolute_shap
xgboost,bps_max,0.05598985,mean_absolute_shap
xgboost,bps_mean,0.053799402,mean_absolute_shap
xgboost,Triglyceride_mean,0.051805064,mean_absolute_shap
xgboost,eGFR_missing_rate,0.051560715,mean_absolute_shap
xgboost,Triglyceride_min,0.049920876,mean_absolute_shap
xgboost,bpd_mean,0.046787594,mean_absolute_shap
xgboost,bpd_missing_rate,0.045399193,mean_absolute_shap
xgboost,FBS_missing_rate,0.04521162,mean_absolute_shap
xgboost,HDL_missing_rate,0.045119192,mean_absolute_shap
xgboost,TC:HDL_ratio_missing_rate,0.04422394,mean_absolute_shap
xgboost,LDL_latest,0.044003967,mean_absolute_shap
xgboost,eGFR_std,0.042096987,mean_absolute_shap
xgboost,HDL_mean,0.04017505,mean_absolute_shap
xgboost,Cholesterol_missing_rate,0.040136155,mean_absolute_shap
xgboost,LDL_std,0.035216056,mean_absolute_shap
xgboost,Cholesterol_mean,0.03331875,mean_absolute_shap
xgboost,LDL_max,0.033120375,mean_absolute_shap
xgboost,bps_std,0.032324135,mean_absolute_shap
xgboost,LDL_mean,0.03170494,mean_absolute_shap
xgboost,Creatinine_latest,0.03107769,mean_absolute_shap
xgboost,eGFR_min,0.03012454,mean_absolute_shap
xgboost,FBS_latest,0.029725147,mean_absolute_shap
xgboost,Cholesterol_std,0.02893987,mean_absolute_shap
xgboost,TC:HDL_ratio_mean,0.028782783,mean_absolute_shap
xgboost,Triglyceride_std,0.028283162,mean_absolute_shap
xgboost,Creatinine_std,0.028242204,mean_absolute_shap
xgboost,eGFR_mean,0.025766607,mean_absolute_shap
xgboost,TC:HDL_ratio_min,0.025575433,mean_absolute_shap
xgboost,Cholesterol_latest,0.025479477,mean_absolute_shap
xgboost,bps_min,0.025320437,mean_absolute_shap
xgboost,Creatinine_mean,0.024324778,mean_absolute_shap
xgboost,Triglyceride_count,0.02429075,mean_absolute_shap
xgboost,bpd_min,0.023574932,mean_absolute_shap
xgboost,bps_count,0.023191407,mean_absolute_shap
xgboost,Creatinine_missing_rate,0.023117071,mean_absolute_shap
xgboost,TC:HDL_ratio_max,0.02298654,mean_absolute_shap
xgboost,TC:HDL_ratio_latest,0.02245005,mean_absolute_shap
xgboost,HDL_latest,0.020591768,mean_absolute_shap
xgboost,HDL_max,0.0190259,mean_absolute_shap
xgboost,Creatinine_min,0.018682262,mean_absolute_shap
xgboost,HDL_min,0.018145412,mean_absolute_shap
xgboost,FBS_count,0.016745653,mean_absolute_shap
xgboost,FBS_min,0.016728511,mean_absolute_shap
xgboost,Cholesterol_max,0.01626789,mean_absolute_shap
xgboost,HDL_std,0.015811166,mean_absolute_shap
xgboost,bpd_latest,0.015561867,mean_absolute_shap
xgboost,FBS_mean,0.0149098635,mean_absolute_shap
xgboost,LDL_min,0.014376448,mean_absolute_shap
xgboost,missingindicator_bps_latest,0.014249244,mean_absolute_shap
xgboost,Cholesterol_count,0.0134251295,mean_absolute_shap
xgboost,Antihypertensive_flag_latest,0.013373091,mean_absolute_shap
xgboost,height_latest,0.013118313,mean_absolute_shap
xgboost,TC:HDL_ratio_std,0.012560518,mean_absolute_shap
xgboost,Triglyceride_latest,0.011825309,mean_absolute_shap
xgboost,smoke_latest,0.011059009,mean_absolute_shap
xgboost,bpd_max,0.010936204,mean_absolute_shap
xgboost,hypertension_latest,0.010887796,mean_absolute_shap
xgboost,LDL_count,0.010323904,mean_absolute_shap
xgboost,bpd_count,0.010073086,mean_absolute_shap
xgboost,FBS_max,0.00916078,mean_absolute_shap
xgboost,HDL_count,0.008906505,mean_absolute_shap
xgboost,missingindicator_FBS_latest,0.00853005,mean_absolute_shap
xgboost,LDL_missing_rate,0.008222045,mean_absolute_shap
xgboost,Triglyceride_missing_rate,0.007703251,mean_absolute_shap
xgboost,drinking_latest,0.0065172506,mean_absolute_shap
xgboost,missingindicator_eGFR_latest,0.0036790054,mean_absolute_shap
xgboost,diabetes_latest,0.0033253548,mean_absolute_shap
xgboost,bps_missing_rate,0.0026875893,mean_absolute_shap
xgboost,TC:HDL_ratio_count,0.002467724,mean_absolute_shap
xgboost,Creatinine_count,0.001657296,mean_absolute_shap
xgboost,missingindicator_Creatinine_latest,0.00140652,mean_absolute_shap
xgboost,eGFR_count,0.00045927987,mean_absolute_shap
xgboost,Statin_latest,0.00012906991,mean_absolute_shap
xgboost,heart_disease_latest,0.0,mean_absolute_shap
xgboost,sex_latest,0.0,mean_absolute_shap
xgboost,Gemfibrozil_latest,0.0,mean_absolute_shap
xgboost,missingindicator_height_latest,0.0,mean_absolute_shap
xgboost,missingindicator_bps_min,0.0,mean_absolute_shap
xgboost,missingindicator_bps_max,0.0,mean_absolute_shap
xgboost,missingindicator_bps_std,0.0,mean_absolute_shap
xgboost,missingindicator_bpd_latest,0.0,mean_absolute_shap
xgboost,missingindicator_bpd_mean,0.0,mean_absolute_shap
xgboost,missingindicator_bpd_min,0.0,mean_absolute_shap
xgboost,missingindicator_bpd_max,0.0,mean_absolute_shap
xgboost,missingindicator_bpd_std,0.0,mean_absolute_shap
xgboost,missingindicator_HDL_latest,0.0,mean_absolute_shap
xgboost,missingindicator_HDL_mean,0.0,mean_absolute_shap
xgboost,missingindicator_HDL_min,0.0,mean_absolute_shap
xgboost,missingindicator_HDL_max,0.0,mean_absolute_shap
xgboost,missingindicator_HDL_std,0.0,mean_absolute_shap
xgboost,missingindicator_bw_latest,0.0,mean_absolute_shap
xgboost,missingindicator_bmi_latest,0.0,mean_absolute_shap
xgboost,missingindicator_bps_mean,0.0,mean_absolute_shap
xgboost,missingindicator_LDL_min,0.0,mean_absolute_shap
xgboost,missingindicator_LDL_mean,0.0,mean_absolute_shap
xgboost,missingindicator_LDL_latest,0.0,mean_absolute_shap
xgboost,missingindicator_LDL_max,0.0,mean_absolute_shap
xgboost,missingindicator_Triglyceride_min,0.0,mean_absolute_shap
xgboost,missingindicator_Triglyceride_max,0.0,mean_absolute_shap
xgboost,missingindicator_Triglyceride_latest,0.0,mean_absolute_shap
xgboost,missingindicator_LDL_std,0.0,mean_absolute_shap
xgboost,missingindicator_Cholesterol_latest,0.0,mean_absolute_shap
xgboost,missingindicator_Cholesterol_mean,0.0,mean_absolute_shap
xgboost,missingindicator_Cholesterol_max,0.0,mean_absolute_shap
xgboost,missingindicator_Cholesterol_min,0.0,mean_absolute_shap
xgboost,missingindicator_Cholesterol_std,0.0,mean_absolute_shap
xgboost,missingindicator_FBS_mean,0.0,mean_absolute_shap
xgboost,missingindicator_Triglyceride_std,0.0,mean_absolute_shap
xgboost,missingindicator_Triglyceride_mean,0.0,mean_absolute_shap
xgboost,missingindicator_FBS_max,0.0,mean_absolute_shap
xgboost,missingindicator_FBS_min,0.0,mean_absolute_shap
xgboost,missingindicator_eGFR_mean,0.0,mean_absolute_shap
xgboost,missingindicator_FBS_std,0.0,mean_absolute_shap
xgboost,missingindicator_eGFR_min,0.0,mean_absolute_shap
xgboost,missingindicator_eGFR_max,0.0,mean_absolute_shap
xgboost,missingindicator_eGFR_std,0.0,mean_absolute_shap
xgboost,missingindicator_Creatinine_mean,0.0,mean_absolute_shap
xgboost,missingindicator_Creatinine_min,0.0,mean_absolute_shap
xgboost,missingindicator_Creatinine_max,0.0,mean_absolute_shap
xgboost,missingindicator_Creatinine_std,0.0,mean_absolute_shap
xgboost,missingindicator_TC:HDL_ratio_latest,0.0,mean_absolute_shap
xgboost,missingindicator_TC:HDL_ratio_mean,0.0,mean_absolute_shap
xgboost,missingindicator_TC:HDL_ratio_min,0.0,mean_absolute_shap
xgboost,missingindicator_TC:HDL_ratio_max,0.0,mean_absolute_shap
xgboost,missingindicator_TC:HDL_ratio_std,0.0,mean_absolute_shap
