column,dtype,missing_count,missing_percent,example_values
hn,int64,0,0.0,"1, 1, 1"
vstdate,datetime64[us],0,0.0,"2021-04-28, 2021-08-19, 2022-01-13"
sex,int64,0,0.0,"1, 1, 1"
age,int64,0,0.0,"46, 46, 46"
height,float64,243,0.0011107454336021063,"186.0, 186.0, 186.0"
bw,float64,226,0.0010330389629385846,"106.0, 106.0, 106.0"
bmi,float64,413,0.0018878101402373248,"30.6393795013428, 30.6393795013428, 30.6393795013428"
smoke,int64,0,0.0,"1, 1, 1"
drinking,int64,0,0.0,"1, 1, 1"
bps,float64,27608,0.12619530835755946,"131.0, 142.0, 132.0"
bpd,float64,27483,0.12562393724973944,"96.0, 105.0, 86.0"
HDL,float64,154022,0.704029766149233,"74.0, 71.0, 91.0"
LDL,float64,155180,0.7093229480920776,"92.0, 107.0, 119.0"
Triglyceride,float64,157488,0.7198727442268663,"243.0, 196.0, 218.0"
Cholesterol,float64,153319,0.7008163750388532,"215.0, 217.0, 254.0"
AF,int64,0,0.0,"1, 1, 1"
FBS,float64,162187,0.7413517269120363,"94.0, 109.0, 126.0"
eGFR,float64,146847,0.6712330645603642,"109.699996948242, 27.3299999237061, 86.6900024414062"
Creatinine,float64,141851,0.6483965041230139,"0.730000019073486, 1.64999997615814, 1.53999996185303"
PrincipleDiagnosis,str,2,9.141937725120216e-06,"I10, I10, I10"
ComorbidityDiagnosis,str,58758,0.26858098842630684,"E781, E781, E781"
ตำบล,str,15227,0.06960214287020276,"โชคชัย, โชคชัย, โชคชัย"
ยาที่ได้รับ,str,40047,0.18305359003894464,"AMLOdipine (Cat.C)(2021-04-28), AMLOdipine (Cat.C)(2021-08-19), AMLOdipine (Cat.C)(2022-01-13)"
heart_disease,int64,0,0.0,"0, 0, 0"
hypertension,int64,0,0.0,"1, 1, 1"
diabetes,int64,0,0.0,"0, 0, 0"
Statin,int64,0,0.0,"0, 0, 0"
Gemfibrozil,int64,0,0.0,"0, 0, 0"
TC:HDL_ratio,float64,155033,0.7086510156692812,"2.9054054054054, 3.05633802816901, 2.79120879120879"
Antihypertensive_flag,int64,0,0.0,"1, 1, 1"
