column,non_null_count,min,max,below_expected_count,above_expected_count,expected_min,expected_max
age,218772,18.0,103.0,0,0,0.0,120
height,218529,140.0,194.0,0,0,30.0,250
bw,218546,30.0,132.0,0,0,1.0,300
bmi,218359,11.3865928649902,49.21875,0,0,5.0,80
bps,191164,60.0,218.0,0,0,40.0,260
bpd,191289,20.0,134.0,0,0,20.0,160
HDL,64750,8.0,125.0,0,0,1.0,200
LDL,63592,-30.0,369.0,1,0,1.0,400
Triglyceride,61284,1.0,427.0,0,0,1.0,2000
Cholesterol,65453,26.0,391.0,0,0,20.0,600
FBS,56585,50.0,296.0,0,0,20.0,600
eGFR,71925,1.0,188.740005493164,0,0,1.0,200
Creatinine,76921,0.0799999982118607,6.59000015258789,1,0,0.1,30
TC:HDL_ratio,63739,0.604651162790698,23.75,0,4,0.1,20
